index,category,question,human_answer,correct_answer
19,Spatial,"An arrow points up. We rotate it 90 degrees to the left, mirror it along its flat end, and rotate it another 90 degrees to the left. Which direction is it pointing?",Up,Up
20,Linguistic,Write a sentence where every word starts with the letter A.,Alice ate an apple after an argument.,Alice ate an apple after an argument.
21,Relational,Sally (a girl) has 3 brothers. Each brother has 2 sisters. How many sisters does Sally have?,"One, as each brother has 2 sisters and Sally is one of them.",One
22,Spatial,"I'm in London and facing west, what direction is Edinburgh?","Right, as Edinburgh is north of London.",Right
23,Counting,Count the number of occurrences of the letter 'L' in the word 'LOLLAPALOOZA'.,Four,Four
24,Puzzle,How many pairs of twins do you need in a room for there to be at least a 50% chance that two people have the same birthday?,"1 pair, as twins share the same birthday.",1 pair
25,Puzzle,A partially full hotel has an infinite number of fully furnished rooms. How does it accommodate one more guest?,"By putting the guest in an empty room, as the hotel is only partially full.",By putting the guest in an empty room.
26,Puzzle,A runaway trolley is heading down the tracks away from five people upwards of the track. You are near a lever that can switch the trolley to another track? How might pulling the lever impact the five people's lives?,"It doesn't impact anyones lives, as the trolley is heading down the tracks in the opposite direction to the five people up the track.",It doesn't impact their lives.
27,Puzzle,"How do you efficiently measure exactly 4 gallons of water with only a 3-gallon, 5-gallon, 4-gallon, and 2-gallon jug?",Fill up the 4-gallon jug,Another option not stated.
28,Popular science,"A 2kg tree grows in a planted pot with 10kg of soil. When the tree grows to 3kg, how much soil is left?","There is still 10kg of soil. Trees are primarily composed of carbon dioxide and water, not soil.",10kg
29,Relational,A man steps over a 0.5m hurdle. What is the minimum height he could have jumped?,"0m, he didn't jump at all, he stepped over the hurdle.",0m
30,Popular science,"I walk to my friend's house, averaging 3mph. How fast would I have to run back to double my average speed for the entire trip?","Instantaneously fast, it is mathematically impossible.",Infinitely fast
